日期,摘要,金额,类型
2025-01-03,超级猩猩月卡,299,支出
2025-01-05,NOTION LABS INC,36,支出
2025-01-08,爱奇艺季卡-自动续费,78,支出
2025-01-10,工资-招行代发,23800,收入
2025-01-12,NETFLIX.COM 8665797172,62,支出
2025-01-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-01-25,ICLOUD+ STORAGE 50GB,6,支出
2025-01-25,盒马鲜生,344.6,支出
2025-02-01,房租,5200,支出
2025-02-03,超级猩猩月卡,299,支出
2025-02-05,NOTION LABS INC,36,支出
2025-02-10,工资-招行代发,23800,收入
2025-02-12,NETFLIX.COM 8665797172,62,支出
2025-02-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-02-25,ICLOUD+ STORAGE 50GB,6,支出
2025-03-01,房租,5200,支出
2025-03-03,超级猩猩月卡,299,支出
2025-03-05,NOTION LABS INC,36,支出
2025-03-10,工资-招行代发,23800,收入
2025-03-12,NETFLIX.COM 4029357733,62,支出
2025-03-15,OFFICE 365 HOME (MSFT),398,支出
2025-03-19,平安车险-自动续保,2200,支出
2025-03-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-03-25,ICLOUD+ STORAGE 50GB,6,支出
2025-04-01,房租,5200,支出
2025-04-03,超级猩猩月卡,299,支出
2025-04-05,NOTION LABS INC,36,支出
2025-04-08,爱奇艺季卡-自动续费,78,支出
2025-04-10,工资-招行代发,23800,收入
2025-04-12,NETFLIX.COM 4029357733,62,支出
2025-04-19,盒马鲜生,99.9,支出
2025-04-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-04-25,ICLOUD+ STORAGE 50GB,6,支出
2025-05-01,房租,5200,支出
2025-05-03,超级猩猩月卡,299,支出
2025-05-05,NOTION LABS INC,36,支出
2025-05-10,工资-招行代发,23800,收入
2025-05-12,NETFLIX.COM 4029357733,62,支出
2025-05-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-05-25,ICLOUD+ STORAGE 50GB,6,支出
2025-06-01,房租,5200,支出
2025-06-01,苹果专卖店,8999,支出
2025-06-03,超级猩猩月卡,299,支出
2025-06-05,NOTION LABS INC,36,支出
2025-06-10,工资-招行代发,23800,收入
2025-06-12,NETFLIX.COM 4029357733,62,支出
2025-06-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-06-25,ICLOUD+ STORAGE 50GB,6,支出
2025-07-01,房租,5200,支出
2025-07-03,超级猩猩月卡,299,支出
2025-07-05,NOTION LABS INC,36,支出
2025-07-08,爱奇艺季卡-自动续费,78,支出
2025-07-10,工资-招行代发,23800,收入
2025-07-12,NETFLIX.COM 4029357733,62,支出
2025-07-12,盒马鲜生,267.4,支出
2025-07-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-07-25,ICLOUD+ STORAGE 50GB,6,支出
2025-08-01,房租,5200,支出
2025-08-03,超级猩猩月卡,299,支出
2025-08-05,NOTION LABS INC,36,支出
2025-08-10,工资-招行代发,23800,收入
2025-08-12,NETFLIX.COM 4029357733,62,支出
2025-08-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-08-25,ICLOUD+ STORAGE 50GB,6,支出
2025-09-01,房租,5200,支出
2025-09-03,超级猩猩月卡,299,支出
2025-09-05,NOTION LABS INC,36,支出
2025-09-10,工资-招行代发,23800,收入
2025-09-12,NETFLIX.COM 4029357733,70,支出
2025-09-17,平安车险-自动续保,2200,支出
2025-09-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-09-25,ICLOUD+ STORAGE 50GB,6,支出
2025-10-01,房租,5200,支出
2025-10-03,超级猩猩月卡,299,支出
2025-10-04,盒马鲜生,61.2,支出
2025-10-05,NOTION LABS INC,36,支出
2025-10-08,爱奇艺季卡-自动续费,78,支出
2025-10-10,工资-招行代发,23800,收入
2025-10-12,NETFLIX.COM 4029357733,70,支出
2025-10-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-10-25,ICLOUD+ STORAGE 50GB,6,支出
2025-11-01,房租,5200,支出
2025-11-03,超级猩猩月卡,299,支出
2025-11-05,NOTION LABS INC,36,支出
2025-11-10,工资-招行代发,23800,收入
2025-11-12,NETFLIX.COM 4029357733,70,支出
2025-11-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-11-25,ICLOUD+ STORAGE 50GB,6,支出
2025-12-01,房租,5200,支出
2025-12-03,超级猩猩月卡,299,支出
2025-12-05,NOTION LABS INC,36,支出
2025-12-10,工资-招行代发,23800,收入
2025-12-12,NETFLIX.COM 3928471923,70,支出
2025-12-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2025-12-25,ICLOUD+ STORAGE 50GB,6,支出
2025-12-27,盒马鲜生,489.9,支出
2026-01-01,房租,5200,支出
2026-01-03,超级猩猩月卡,299,支出
2026-01-05,NOTION LABS INC,36,支出
2026-01-08,爱奇艺季卡-自动续费,78,支出
2026-01-10,工资-招行代发,23800,收入
2026-01-12,NETFLIX.COM 3928471923,70,支出
2026-01-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2026-01-25,ICLOUD+ STORAGE 50GB,6,支出
2026-02-01,房租,5200,支出
2026-02-03,超级猩猩月卡,299,支出
2026-02-05,NOTION LABS INC,36,支出
2026-02-10,工资-招行代发,23800,收入
2026-02-12,NETFLIX.COM 3928471923,70,支出
2026-02-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2026-02-25,ICLOUD+ STORAGE 50GB,6,支出
2026-03-01,房租,5200,支出
2026-03-03,超级猩猩月卡,299,支出
2026-03-05,NOTION LABS INC,36,支出
2026-03-10,工资-招行代发,23800,收入
2026-03-12,NETFLIX.COM 3928471923,70,支出
2026-03-15,OFFICE 365 HOME (MSFT),398,支出
2026-03-18,平安车险-自动续保,2200,支出
2026-03-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2026-03-21,盒马鲜生,145,支出
2026-03-25,ICLOUD+ STORAGE 50GB,6,支出
2026-04-01,房租,5200,支出
2026-04-03,超级猩猩月卡,299,支出
2026-04-05,NOTION LABS INC,36,支出
2026-04-08,爱奇艺季卡-自动续费,78,支出
2026-04-10,工资-招行代发,23800,收入
2026-04-12,NETFLIX.COM 3928471923,70,支出
2026-04-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2026-04-25,ICLOUD+ STORAGE 50GB,6,支出
2026-05-01,房租,5200,支出
2026-05-03,超级猩猩月卡,299,支出
2026-05-05,NOTION LABS INC,36,支出
2026-05-10,工资-招行代发,23800,收入
2026-05-12,NETFLIX.COM 3928471923,70,支出
2026-05-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2026-05-25,ICLOUD+ STORAGE 50GB,6,支出
2026-06-01,房租,5200,支出
2026-06-03,超级猩猩月卡,299,支出
2026-06-05,NOTION LABS INC,36,支出
2026-06-10,工资-招行代发,23800,收入
2026-06-12,NETFLIX.COM 3928471923,70,支出
2026-06-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2026-06-25,ICLOUD+ STORAGE 50GB,6,支出
2026-07-01,房租,5200,支出
2026-07-03,超级猩猩月卡,299,支出
2026-07-05,NOTION LABS INC,36,支出
2026-07-08,爱奇艺季卡-自动续费,78,支出
2026-07-10,工资-招行代发,23800,收入
2026-07-12,NETFLIX.COM 3928471923,70,支出
2026-07-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2026-07-25,ICLOUD+ STORAGE 50GB,6,支出
2026-08-01,房租,5200,支出
2026-08-03,超级猩猩月卡,299,支出
2026-08-05,NOTION LABS INC,36,支出
2026-08-10,工资-招行代发,23800,收入
2026-08-12,NETFLIX.COM 3928471923,70,支出
2026-08-20,P9RSK SPOTIFY STOCKHOLM SE,38,支出
2026-08-25,ICLOUD+ STORAGE 50GB,6,支出
